day,antisensitivity
0,1
1,0.9952941176470589
2,0.9717647058823529
3,0.68
4,0.3788235294117647
5,0.2517647058823529
6,0.2164705882352941
7,0.20705882352941177
8,0.21411764705882352
9,0.2376470588235294
10,0.2635294117647059
11,0.30588235294117644
12,0.34823529411764703
13,0.3905882352941177
14,0.4352941176470588
15,0.48235294117647054
16,0.5247058823529411
17,0.5623529411764705
18,0.5976470588235294
19,0.6376470588235295
20,0.6658823529411765
